rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1,8.35389523,2.2514,1041.6,2.52,790,5592,4.582,0.787
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1,4.125543472,3.1744,1487.3,4.43,1243,6174,4.417,1.103
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1,2.816504904,2.50587,16814,12.21,1219,5532,4.452,0.955
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0,33.93373447,14.561,8503.7,7.34,430,5040,4.628,0.705
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1,3.689920099,2.6557,426.7,1.89,1147,5880,4.518,0.917
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1,4.431238488,3.15,1010.9,3.25,1104,5714,4.428,1.015
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,1,11.37936986,2.6255,1023.5,3.95,806,5714,4.428,1.015
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,1,26.39432897,3.573,1510.9,3.07,489,5129,4.595,0.763
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1,13.57078281,3.3539,511.7,2.64,785,5854,4.406,1.012
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,1,7.12594387,3.0014,192.4,1.79,997,5779,4.339,1.087
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.014,7.442652004,2.3078,24446,15.03,967,6108,4.469,0.956
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1,16.38489988,3.0249,1127.1,2,433,4126,4.661,0.615
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,1,7.8774163,2.0805,1306.1,2.16,553,4126,4.661,0.615
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1,36.4454001,4.007,1122.3,1.99,332,4126,4.661,0.615
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1,3.728732147,2.683,5226.5,6.02,1023,5497,4.577,0.809
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,0.999,40.4195037,3.362,6256,7.51,467,5446,4.507,0.781
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1,2.243380573,1.1196,821.7,1.99,822,4149,4.698,0.564
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0,10.40599802,6.5036,14489,11.23,833,5746,4.393,0.924
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,1,2.337437946,1.9982,971.2,2.34,1070,5005,4.595,0.765
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,0.993,7.2406612,0.558,556.4,19.45,734,5005,4.595,0.765
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,0.871,3.43591631,3.133,23.2,0.55,1272,5779,4.339,1.087
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,1,11.59822233,2.5237,2804.5,2.65,396,3688,4.79,0.473
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,1,6.575315881,4.3084,2793.3,5.31,1015,5992,4.415,0.989
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,1,7.275040844,7.5377,3001,4.86,833,5485,4.556,0.867
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1,19.27153892,2.7594,1219.8,1.93,393,4077,4.702,0.56
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,1,10.06524317,1.369,1053.3,1.91,488,4077,4.702,0.56
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,1,12.3935651,3.8896,916.6,2.66,677,5557,4.603,0.75
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.998,43.84439721,6.802,615.2,2.87,531,5854,4.406,1.012
72,3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.341913228,3.813,725.3,21.55,1032,5295,4.551,0.811
73,3246984,K00799.01,,CANDIDATE,CANDIDATE,0.773,1.626630225,2.1145,1620.6,32.43,1547,5735,4.41,0.973
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,1,2.711504086,3.0099,837.5,3.12,1420,6214,4.442,1.076
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,1,7.21203748,4.0491,950.4,3.32,1025,6214,4.442,1.076
76,12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,,14.1798187,2.505,459.9,1.88,711,5799,4.539,0.878
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,1,8.47237911,2.7245,1123.5,2.59,751,5354,4.587,0.788
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,0.989,60.4189369,5.039,931.3,2.36,390,5354,4.587,0.788
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,1,12.61190435,5.1497,6105.6,7.4,753,5795,4.508,0.919
80,2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.433769925,1.8868,1976.3,46.58,1920,6017,4.22,1.339
81,2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0,10.31872301,3.836,871.7,28.59,876,5927,4.409,1.06
82,2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,1,2.539183147,2.4282,382.1,2.06,1332,5519,4.35,1.062
83,3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,1,6.770300385,2.0844,1304,2.77,812,5653,4.656,0.679
84,3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0,0.444291966,2.0792,10967,27.51,1836,5255,4.678,0.636
85,3115833,K00797.01,,CANDIDATE,CANDIDATE,1,10.181584,3.5089,5741.1,7.73,812,5988,4.541,0.836
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,1,20.06036336,3.3203,1494.7,1.96,361,3950,4.754,0.493
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1,46.1842039,4.758,1394.7,1.83,273,3950,4.754,0.493
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0.952,23.9800854,5.351,104,1.31,649,5854,4.406,1.012
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,0.994,7.82502168,2.186,520.8,1.2,494,3950,4.754,0.493
90,4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,1,3.895936525,2.3111,8544.8,7.34,1005,5557,4.592,0.774
91,4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,0.999,22.36646466,5.228,986.8,2.32,536,5395,4.615,0.734
92,3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1,1.625522174,2.38963,7969,9.73,1579,5539,4.322,1.106
93,3453214,K00802.01,,CANDIDATE,CANDIDATE,1,19.62034692,2.0038,21725,13.6,643,5710,4.492,0.905
94,3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.544039,6.222,322.6,17.47,838,5657,4.567,0.824
95,3641726,K00804.01,,CANDIDATE,CANDIDATE,1,9.02930689,3.1449,1019.8,2.57,757,5349,4.526,0.82
96,3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,0.053,10.32803571,7.7915,16918,13.28,843,5627,4.359,1.024
97,3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,1,143.2063047,8.9302,10566,8.9,308,5485,4.556,0.867
98,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,0.95,6.164876,3.262,55.8,0.79,1021,5854,4.406,1.012
99,3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,0.745,60.32494216,6.6188,20280,12.19,411,5485,4.556,0.867
100,3832474,K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,,29.1598615,4.803,488,1.91,524,5485,4.556,0.867
101,3836375,K00807.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.540397253,2.1541,816.1,25.69,1470,5663,4.53,0.915
102,3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.99025443,5.414,589.2,1.7,918,4667,4.578,0.731
103,3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1,1.594745374,1.9604,15044,11.3,1539,5934,4.491,0.893
104,3940418,K00810.01,,CANDIDATE,CANDIDATE,1,4.783002698,2.335,1008.7,2.5,886,5170,4.574,0.807
105,4049131,K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,1,20.50588921,4.0595,2105.5,3.41,518,4905,4.544,0.761
106,4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,1,3.340218842,1.9104,1632.6,2.03,656,3950,4.754,0.493
107,5287983,K00828.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.507089906,2.0067,1339.2,30.26,1326,5926,4.506,0.939
108,5358241,K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,1,18.64932728,4.4056,893.6,3.12,701,5775,4.405,1.053
109,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,1,4.90144976,4.1654,140.7,1.7,1262,5847,4.191,1.402
110,5358241,K00829.02,Kepler-53 d,CONFIRMED,CANDIDATE,0.998,9.75192101,4.793,418,2.76,870,5775,4.405,1.053
111,5358241,K00829.03,Kepler-53 c,CONFIRMED,CANDIDATE,1,38.5576546,5.794,993,4.02,550,5775,4.405,1.053
