rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad
1672,9112931,K02256.01,Kepler-1161 b,CONFIRMED,CANDIDATE,1,10.71253475,2.7186,1198.6,2.02,485,4175,4.715,0.544
1673,9071593,K02257.01,Kepler-1162 b,CONFIRMED,CANDIDATE,1,32.5635249,5.418,578.3,2.05,490,5225,4.505,0.859
1674,8126558,K02259.01,,CANDIDATE,CANDIDATE,1,12.19140405,1.8832,665.8,2.46,763,5516,4.399,0.967
1675,11811193,K02260.01,Kepler-1163 b,CONFIRMED,CANDIDATE,1,6.11784972,3.458,60.5,1.05,1211,6226,4.247,1.333
1676,3734418,K02261.01,Kepler-1164 b,CONFIRMED,CANDIDATE,0.997,3.97599629,2.2029,206,1.11,936,5143,4.561,0.778
1677,8681734,K02340.01,Kepler-1198 b,CONFIRMED,CANDIDATE,1,7.68478504,2.447,274.1,1.47,830,5344,4.469,0.907
1678,10232693,K02341.01,,FALSE POSITIVE,FALSE POSITIVE,0.013,0.990516282,2.019,101.6,3.52,2841,5975,3.755,2.399
1679,10212441,K02342.01,Kepler-1199 b,CONFIRMED,CANDIDATE,1,15.0447098,5.823,97.9,1.51,931,5798,4.025,1.525
1680,6119141,K02343.01,,FALSE POSITIVE,FALSE POSITIVE,0.056,29.0726293,2.516,439.6,2.32,614,5799,4.37,1.042
1681,8247771,K02344.01,Kepler-1200 b,CONFIRMED,CANDIDATE,0.999,1.118547814,1.5534,234.8,0.98,1174,4496,4.65,0.658
1682,8165946,K02105.01,Kepler-1100 b,CONFIRMED,CANDIDATE,1,6.42199919,2.6192,161.6,1.25,1000,5985,4.468,0.981
1683,12017109,K02106.01,,CANDIDATE,CANDIDATE,1,9.75374033,2.348,430.8,1.87,813,5806,4.528,0.899
1684,9225395,K02107.01,Kepler-1101 b,CONFIRMED,CANDIDATE,0.979,81.3153052,5.807,715.5,2.55,393,5325,4.39,0.975
1685,10709622,K02108.01,Kepler-1102 b,CONFIRMED,CANDIDATE,0.998,51.3283527,9.357,692.3,3.06,546,6119,4.353,1.119
1686,11499228,K02109.01,Kepler-1103 b,CONFIRMED,CANDIDATE,1,19.7919389,3.787,383.7,2.58,736,6285,4.441,1.039
1687,9022166,K02175.01,Kepler-368 b,CONFIRMED,CANDIDATE,0.989,26.8475962,10.068,254.1,3.2,800,5508,3.897,1.988
1688,10965588,K02177.01,Kepler-1132 b,CONFIRMED,CANDIDATE,1,62.8917493,6.831,791,2.5,384,5052,4.48,0.855
1689,10670119,K02179.01,Kepler-369 c,CONFIRMED,CANDIDATE,0.998,14.87149773,2.4076,944.9,1.59,391,3825,4.749,0.524
1690,10670119,K02179.02,Kepler-369 b,CONFIRMED,CANDIDATE,0.992,2.732767897,1.1102,613.1,1.42,687,3825,4.749,0.524
1691,4043443,K00231.01,,FALSE POSITIVE,FALSE POSITIVE,0,119.8401019,3.6796,5448.7,26.96,255,4602,4.637,0.675
1692,8491277,K00234.01,Kepler-498 b,CONFIRMED,CANDIDATE,1,9.61375316,4.654,797.9,3.27,931,5997,4.364,1.11
1693,3734418,K02261.02,,CANDIDATE,CANDIDATE,,6.6254781,2.358,122,0.9,828,5211,4.5,0.832
1694,8613535,K02263.01,,CANDIDATE,CANDIDATE,0.962,29.9685917,6.678,309.5,1.91,644,6249,4.428,1.076
1695,12256520,K02264.01,Kepler-1166 b,CONFIRMED,CANDIDATE,0.999,33.2407985,4.675,341.9,1.51,486,5382,4.571,0.827
1696,3337432,K02265.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.97600846,4.274,103.2,2.27,1892,6208,3.898,2.088
1697,5629538,K02345.01,Kepler-1201 b,CONFIRMED,CANDIDATE,0.991,15.18727049,4.509,292.5,1.94,789,6136,4.414,1.005
1698,8561231,K02346.01,Kepler-1202 b,CONFIRMED,CANDIDATE,0.999,28.6853212,6.307,689.1,2.69,547,5726,4.559,0.838
1699,8235924,K02347.01,Kepler-1203 b,CONFIRMED,FALSE POSITIVE,0.15,0.588001053,1.1451,297.4,0.99,1188,3814,4.687,0.57
1700,6941084,K02348.01,Kepler-1204 b,CONFIRMED,CANDIDATE,0.99,85.7357202,7.625,747.7,2.94,448,6096,4.397,1.077
1701,6200235,K02350.01,Kepler-1205 b,CONFIRMED,CANDIDATE,1,1.078389713,1.3394,300.5,1.98,1667,5325,4.384,0.985
1702,11460462,K02110.01,Kepler-1104 b,CONFIRMED,CANDIDATE,0.998,5.03728033,2.0619,76.3,1.55,1321,6387,4.271,1.381
1703,8612275,K02111.01,Kepler-360 b,CONFIRMED,CANDIDATE,1,3.289726319,2.3274,234.9,1.37,1116,5463,4.492,0.91
1704,8612275,K02111.02,Kepler-360 c,CONFIRMED,CANDIDATE,1,7.18644594,1.4972,402,2.19,860,5463,4.492,0.91
1705,7207061,K02113.01,Kepler-417 c,CONFIRMED,CANDIDATE,1,15.94248453,3.4894,1093.7,2.62,616,5376,4.576,0.806
1706,4545187,K00223.02,Kepler-121 c,CONFIRMED,CANDIDATE,1,41.0081117,4.376,1004.5,2.64,425,5303,4.63,0.708
1707,7286911,K02180.01,Kepler-1133 b,CONFIRMED,CANDIDATE,0.99,11.55562042,1.6758,441.5,2.11,703,5420,4.555,0.85
1708,8591173,K02181.01,,CANDIDATE,CANDIDATE,1,12.2885046,2.807,342.1,3.22,913,5109,3.96,1.671
1709,6962109,K02182.01,Kepler-1134 b,CONFIRMED,CANDIDATE,0.969,17.13263125,3.0555,850.2,2.31,611,5477,4.578,0.794
1710,5706595,K02183.01,Kepler-370 c,CONFIRMED,CANDIDATE,1,19.0231361,3.431,401.6,2.04,647,5569,4.459,0.954
1711,5706595,K02183.02,Kepler-370 b,CONFIRMED,CANDIDATE,1,4.57948235,3.106,207.1,1.35,1040,5569,4.459,0.954
1712,10489345,K02266.01,Kepler-1167 b,CONFIRMED,CANDIDATE,1,1.003931703,1.4361,491.1,1.6,1419,4949,4.552,0.741
1713,11774303,K02269.01,,FALSE POSITIVE,FALSE POSITIVE,0,0.614083885,0.9817,389.5,2.55,2603,6521,4.352,1.276
1714,10329469,K02271.01,Kepler-1168 b,CONFIRMED,CANDIDATE,0.998,55.8224775,5.457,879.6,2.13,379,5162,4.611,0.736
1715,9654875,K02272.01,,FALSE POSITIVE,FALSE POSITIVE,0.036,1.34145255,7.502,26.6,1.31,3015,7495,3.926,2.389
1716,9717943,K02273.01,Kepler-1169 b,CONFIRMED,CANDIDATE,0.999,6.11010439,2.314,59.7,0.93,1125,6213,4.387,1.195
1717,8026752,K00240.01,Kepler-502 b,CONFIRMED,FALSE POSITIVE,0.007,4.286866229,4.4726,1321.9,4.14,1217,6228,4.441,1.049
1718,1872821,K02351.01,,CANDIDATE,CANDIDATE,1,10.27380957,3.252,352.8,1.68,799,5806,4.528,0.899
1719,8013439,K02352.01,Kepler-381 c,CONFIRMED,CANDIDATE,1,13.39155154,3.391,48.9,1.58,1180,6197,3.837,2.188
1720,8013439,K02352.02,Kepler-381 b,CONFIRMED,CANDIDATE,1,5.62904396,3.7295,39.5,1.39,1576,6197,3.837,2.188
1721,8013439,K02352.03,,CANDIDATE,CANDIDATE,1,8.2562857,2.0378,37.3,1.49,1387,6197,3.837,2.188
1722,7207061,K02113.02,Kepler-417 b,CONFIRMED,CANDIDATE,1,12.33087921,3.0664,872.2,2.34,671,5376,4.576,0.806
1723,6921944,K02114.01,Kepler-1105 b,CONFIRMED,CANDIDATE,1,4.421566535,2.1229,684,2.19,729,4299,4.604,0.697
1724,9532052,K02115.01,Kepler-67 b,CONFIRMED,CANDIDATE,0.999,15.72585941,3.8284,1313.1,2.69,602,5332,4.597,0.755
1725,8164012,K02116.01,Kepler-1106 b,CONFIRMED,CANDIDATE,1,1.252753881,2.1472,200,2.44,2199,5907,4.041,1.705
1726,4140813,K02117.01,,CANDIDATE,CANDIDATE,1,13.36019864,2.788,699.9,1.84,520,4500,4.638,0.688
1727,8611781,K02185.01,Kepler-1135 b,CONFIRMED,CANDIDATE,0.978,76.957056,9.551,367.1,2.09,451,5878,4.363,1.041
1728,3097926,K02186.01,,CANDIDATE,CANDIDATE,1,14.97974335,4.126,1211.8,3.79,620,5062,4.481,0.853
1729,10518424,K02188.02,,CANDIDATE,CANDIDATE,,6.7445683,3.813,86.6,0.86,983,6106,4.496,0.923
1730,5730445,K02189.01,,CANDIDATE,CANDIDATE,0.975,33.35859852,2.286,1825.9,4.44,459,5009,4.515,0.799
1731,5601258,K02191.01,,CANDIDATE,CANDIDATE,1,8.84784273,2.0572,460.2,1.15,479,3867,4.718,0.552
1732,7960980,K02274.01,Kepler-1170 b,CONFIRMED,CANDIDATE,0.999,9.98970266,3.7,988.4,2.48,705,5265,4.58,0.81
1733,8107225,K00235.01,Kepler-499 b,CONFIRMED,CANDIDATE,1,5.63252508,2.1448,634.4,2.04,844,5216,4.58,0.804
1734,3458028,K02276.01,Kepler-1171 b,CONFIRMED,CANDIDATE,1,1.442592305,2.9698,166,2.67,2700,7216,3.983,2.043
1735,3342794,K02278.01,Kepler-376 c,CONFIRMED,CANDIDATE,0.997,14.17222858,2.6297,246.8,2.39,873,5845,4.2,1.314
1736,3342794,K02278.02,Kepler-376 b,CONFIRMED,CANDIDATE,0.991,4.92031063,4.046,81,1.18,1242,5845,4.2,1.314
1737,5716932,K02358.01,,CANDIDATE,CANDIDATE,0.973,56.4931698,8.704,411.9,4.43,681,6160,3.976,2.046
1738,11288051,K00241.01,Kepler-124 c,CONFIRMED,CANDIDATE,1,13.82142084,3.985,765.2,2.2,560,4983,4.66,0.651
1739,7515670,K02360.01,,FALSE POSITIVE,FALSE POSITIVE,0.006,2.30367952,3.0898,136.4,1.3,1384,6191,4.546,0.865
1740,11566256,K02361.01,,CANDIDATE,CANDIDATE,1,5.78387049,1.3966,413.3,2.07,1051,6063,4.476,1.012
1741,8495415,K02362.02,Kepler-1208 b,CONFIRMED,CANDIDATE,0.997,11.08507658,1.751,771.8,2.5,665,5080,4.538,0.793
1742,4055304,K02119.01,Kepler-1107 b,CONFIRMED,CANDIDATE,1,0.571038347,1.1267,242.1,1.65,1897,5132,4.457,0.886
1743,4857213,K02120.01,,CANDIDATE,CANDIDATE,1,8.77425786,2.2245,239.6,1.75,771,5146,4.445,0.905
1744,9415108,K02121.01,Kepler-1108 b,CONFIRMED,FALSE POSITIVE,0,4.51005082,2.1533,294.8,1.74,1063,5362,4.352,1.032
1745,4262581,K02122.01,Kepler-1109 b,CONFIRMED,CANDIDATE,1,37.6468519,6.344,427.4,5.37,787,5443,3.74,2.652
1746,8591693,K02123.01,,CANDIDATE,CANDIDATE,1,29.4557841,3.451,533.8,2.19,598,6036,4.491,0.949
1747,4833421,K00232.01,Kepler-122 c,CONFIRMED,CANDIDATE,1,12.46600444,5.0066,2232.1,5.65,897,6038,4.284,1.191
1748,8282651,K02193.01,Kepler-1136 b,CONFIRMED,CANDIDATE,1,2.361724472,1.2167,587,1.53,922,4478,4.615,0.651
1749,3548044,K02194.01,Kepler-371 b,CONFIRMED,CANDIDATE,0.991,34.7630543,4.309,293.7,1.75,554,5670,4.387,0.95
1750,11401767,K02195.01,Kepler-372 c,CONFIRMED,CANDIDATE,0.998,20.0545282,7.173,305.4,2.63,755,6056,4.332,1.209
1751,10909127,K02200.01,Kepler-1138 b,CONFIRMED,CANDIDATE,1,3.17059731,1.6686,325.4,1.69,1080,5431,4.563,0.843
1752,3661886,K02279.01,Kepler-377 c,CONFIRMED,CANDIDATE,1,27.0142622,5.385,287.6,2,677,5949,4.303,1.184
1753,3661886,K02279.02,Kepler-377 b,CONFIRMED,CANDIDATE,0.998,12.50945798,3.479,155.3,1.54,875,5949,4.303,1.184
1754,2439243,K02280.01,Kepler-1172 b,CONFIRMED,CANDIDATE,1,26.0203329,4.965,1164.4,4.53,675,5624,4.218,1.244
1755,9221517,K02281.01,Kepler-1173 b,CONFIRMED,CANDIDATE,0.995,0.769854899,1.0243,109.6,0.93,1650,5173,4.55,0.822
1756,6751874,K02282.01,Kepler-1174 b,CONFIRMED,CANDIDATE,1,6.89226333,2.4921,214.4,2.13,1156,5862,4.148,1.463
1757,10863608,K02368.01,Kepler-1210 b,CONFIRMED,CANDIDATE,0.999,8.07127043,2.393,318.2,1.53,856,5766,4.517,0.853
1758,5602588,K02369.01,Kepler-1211 b,CONFIRMED,CANDIDATE,1,11.01819178,4.635,545.7,2.64,840,6075,4.486,0.969
1759,11288051,K00241.02,Kepler-124 d,CONFIRMED,CANDIDATE,0.982,30.9505927,5.394,301.4,1.51,428,4983,4.66,0.651
1760,5602588,K02369.02,,CANDIDATE,CANDIDATE,,6.3143447,2.796,191.4,1.34,1012,6075,4.486,0.969
1761,5385304,K02370.01,,CANDIDATE,CANDIDATE,0.984,78.7327023,5.041,495.8,7.76,761,6715,3.754,2.763
1762,5547480,K00224.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.979867514,2.3607,907.6,26.5,1173,6032,4.485,0.973
1763,11462341,K02124.01,,CANDIDATE,CANDIDATE,0.992,42.3375799,4.924,354.8,1.45,311,4132,4.682,0.581
1764,9405595,K02125.01,,CANDIDATE,CANDIDATE,1,23.3593589,5.389,570.1,2.98,684,6244,4.46,1.009
1765,3546060,K02126.01,Kepler-1110 b,CONFIRMED,CANDIDATE,1,9.69310837,2.734,1130.7,2.12,609,4818,4.639,0.618
1766,7019489,K02128.01,,FALSE POSITIVE,FALSE POSITIVE,0,24.2598301,3.897,1540.3,25.42,547,5485,4.574,0.805
1767,2141783,K02201.01,,FALSE POSITIVE,FALSE POSITIVE,0,116.5214317,5.577,771.5,44.41,457,6056,4.179,1.411
1768,4144576,K02202.01,Kepler-1139 b,CONFIRMED,CANDIDATE,1,0.813166357,1.4122,173.5,1.14,1693,5237,4.5,0.887
1769,8494542,K02204.01,,CANDIDATE,CANDIDATE,0.989,10.86062378,2.2874,189.6,2.09,1108,6455,4.125,1.496
1770,9992325,K02205.01,Kepler-1140 b,CONFIRMED,CANDIDATE,1,24.08632177,2.236,1041.7,2.78,500,4973,4.537,0.768
1771,11073656,K02206.01,,CANDIDATE,CANDIDATE,0.999,1.834277283,1.7499,286.5,1.64,1459,5751,4.458,0.958
1772,10206675,K02283.01,,FALSE POSITIVE,FALSE POSITIVE,0,17.40208965,3.745,616.5,16.37,422,4098,4.662,0.615
1773,9945370,K02285.01,Kepler-1175 b,CONFIRMED,CANDIDATE,1,37.9456138,4.093,1032.9,2.79,515,5861,4.546,0.865
1774,3832716,K00027.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.141877248,4.33931,309490,88.62,2184,6158,4.152,1.368
1775,8453211,K00236.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.77675928,6.789,3522.5,32.77,954,5544,4.435,0.875
1776,8973129,K02286.01,Kepler-1176 b,CONFIRMED,CANDIDATE,1,24.1738244,3.056,532.6,2.21,595,5468,4.427,0.968
1777,12505654,K02353.01,,CANDIDATE,CANDIDATE,1,5.186737262,0.8023,712.7,2.4,860,5230,4.594,0.777
1778,7215678,K02354.01,,CANDIDATE,CANDIDATE,1,1.151244686,1.272,269.6,40.32,1756,6086,4.511,0.921
1779,11670125,K02355.01,Kepler-1206 b,CONFIRMED,CANDIDATE,1,1.217000383,1.3285,459.8,1.58,1314,4859,4.545,0.757
1780,11461844,K02356.01,Kepler-1207 b,CONFIRMED,CANDIDATE,0.997,13.6823798,4.153,179.6,1.43,802,6102,4.457,1.026
1781,7449554,K02357.01,,CANDIDATE,CANDIDATE,0.999,2.42088277,2.812,223.3,2.27,1616,5583,4.077,1.53
1782,9351920,K02129.01,Kepler-1111 b,CONFIRMED,CANDIDATE,1,8.79618433,3.3781,286.3,1.77,938,6142,4.456,1.046
1783,2161536,K02130.01,,CANDIDATE,CANDIDATE,1,16.85592593,2.309,871.5,1.7,408,3967,4.674,0.587
1784,10549023,K02131.01,Kepler-1112 b,CONFIRMED,CANDIDATE,1,14.36270451,4.564,349.4,2.31,918,6643,4.357,1.216
1785,9661979,K02132.01,,CANDIDATE,CANDIDATE,0.999,69.8956789,5.276,548.4,3.04,442,5390,4.303,1.104
1786,8219268,K02133.01,Kepler-91 b,CONFIRMED,FALSE POSITIVE,0.059,6.24667547,11.261,396.8,14.93,1902,4604,2.936,6.221
1787,10531955,K02208.01,Kepler-1141 b,CONFIRMED,CANDIDATE,1,2.344512589,1.4116,58.9,0.97,1471,5821,4.328,1.132
1788,4833421,K00232.02,Kepler-122 b,CONFIRMED,CANDIDATE,1,5.766165573,3.8314,364.8,2.27,1159,6038,4.284,1.191
1789,8168187,K02209.01,Kepler-1142 b,CONFIRMED,CANDIDATE,0.988,18.3027235,8.262,186.7,2.72,902,5528,3.892,1.839
1790,4142847,K02210.01,Kepler-1143 b,CONFIRMED,CANDIDATE,0.999,2.888904439,1.6043,402.2,1.68,976,4895,4.589,0.759
1791,10203349,K02212.01,Kepler-1144 b,CONFIRMED,CANDIDATE,1,17.14648756,4.2354,440.3,3.64,811,5559,4.127,1.412
1792,9718066,K02287.01,Kepler-378 b,CONFIRMED,CANDIDATE,0.199,16.09227518,2.1072,128.5,0.98,503,4657,4.641,0.67
1793,3440978,K02288.01,,CANDIDATE,CANDIDATE,0.997,38.103908,3.837,961.1,4.08,456,5250,4.522,0.771
1794,3867615,K02289.01,Kepler-379 c,CONFIRMED,CANDIDATE,0.944,62.7843981,4.81,325,2.28,530,6053,4.279,1.26
1795,12121570,K02290.01,,CANDIDATE,CANDIDATE,0.97,91.500873,4.842,704.8,1.82,310,5051,4.628,0.706
1796,8410415,K02291.01,,CANDIDATE,CANDIDATE,0.985,44.2993483,4.298,797.9,2.68,463,5316,4.459,0.915
1797,7987866,K02363.01,,CANDIDATE,CANDIDATE,0.999,3.13877646,1.6663,174.1,0.97,1022,5242,4.556,0.722
1798,9532710,K02364.01,,FALSE POSITIVE,FALSE POSITIVE,0.305,5.24242029,6.413,334.9,3.86,1367,5383,3.824,1.829
1799,11560897,K02365.01,Kepler-430 b,CONFIRMED,CANDIDATE,0.998,35.9682692,2.839,269.7,2.95,674,5883,4.149,1.529
1800,11342416,K02366.01,Kepler-1209 b,CONFIRMED,CANDIDATE,0.998,25.3690868,4.746,110.1,1.67,755,6126,4.224,1.406
1801,9086251,K02367.01,,CANDIDATE,CANDIDATE,0.999,6.89213244,1.725,82,1.35,1177,6164,4.227,1.446
1802,4254466,K02134.01,Kepler-1113 b,CONFIRMED,CANDIDATE,0.912,42.3006282,4.372,507.9,2.54,558,5852,4.353,1.129
1803,5801571,K00225.01,,FALSE POSITIVE,FALSE POSITIVE,0,0.838597429,1.68668,2482.1,44.67,2278,6366,4.352,1.236
1804,9904006,K02135.01,Kepler-361 c,CONFIRMED,CANDIDATE,0.979,55.1866213,9.133,375.5,2.47,568,6178,4.269,1.267
1805,5288570,K02136.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.728528176,3.682,197.6,5.07,2720,6153,3.597,3.279
1806,9364609,K02137.01,Kepler-1114 b,CONFIRMED,CANDIDATE,0.997,14.97436238,2.4461,265.4,1.28,631,5311,4.532,0.8
1807,7457296,K02213.01,Kepler-1145 b,CONFIRMED,CANDIDATE,1,3.97076603,1.814,349.2,1.6,958,5178,4.521,0.778
1808,10328458,K02214.01,Kepler-1146 b,CONFIRMED,CANDIDATE,0.994,2.352273912,1.7389,318.6,1.29,1019,4816,4.608,0.748
1809,7050060,K02215.01,,FALSE POSITIVE,FALSE POSITIVE,0,22.0425953,61.2018,348,28.78,760,5974,4.216,1.26
1810,4248120,K02216.01,,CANDIDATE,CANDIDATE,1,23.34036251,2.054,615.1,2.21,601,5530,4.425,0.892
1811,9580992,K02217.01,,CANDIDATE,CANDIDATE,1,37.8034121,4.641,678.1,2.95,460,5329,4.572,0.819
1812,8321314,K02293.01,,CANDIDATE,CANDIDATE,1,15.03366411,3.272,374.9,1.7,669,5523,4.526,0.891
1813,6934986,K02294.01,,CANDIDATE,CANDIDATE,0.97,131.485184,5.294,557.8,3.03,400,5765,4.236,1.242
1814,4049901,K02295.01,,CANDIDATE,CANDIDATE,0.961,16.2908527,3.176,44.1,0.52,622,5425,4.549,0.797
1815,11498128,K02296.01,Kepler-1177 b,CONFIRMED,CANDIDATE,0.99,106.247882,13.78,397.4,2.01,377,5679,4.435,0.972
1816,8041216,K00237.01,Kepler-500 b,CONFIRMED,CANDIDATE,1,8.508333104,3.4559,646.5,2.6,909,5767,4.396,1.03
1817,11824786,K02371.01,Kepler-1212 b,CONFIRMED,CANDIDATE,0.996,12.94123564,4.636,328.8,1.7,795,6119,4.497,0.938
1818,12254909,K02372.01,Kepler-1213 b,CONFIRMED,CANDIDATE,0.997,5.349791,4.279,88.8,1.29,1156,6074,4.368,1.183
1819,10798331,K02373.01,,CANDIDATE,CANDIDATE,0.99,147.281212,7.375,452.8,2.28,353,5708,4.365,1.054
1820,9364290,K02374.01,Kepler-382 b,CONFIRMED,CANDIDATE,0.994,5.26211833,3.244,194.5,1.95,1166,5587,4.188,1.309
1821,9364290,K02374.02,Kepler-382 c,CONFIRMED,CANDIDATE,0.998,12.1628195,2.3161,306.3,3.14,882,5587,4.188,1.309
1822,5022828,K02138.01,Kepler-1115 b,CONFIRMED,CANDIDATE,0.995,23.5541012,7.3,95.2,2.33,1381,9565,4.088,2.286
1823,8233702,K02140.01,Kepler-1116 b,CONFIRMED,CANDIDATE,1,41.6977582,5.513,684.8,2.26,488,5730,4.545,0.87
1824,11403339,K02143.01,Kepler-1117 b,CONFIRMED,CANDIDATE,0.999,4.79029482,2.7219,142,1.01,938,5412,4.562,0.843
1825,8260902,K02144.01,Kepler-1118 b,CONFIRMED,CANDIDATE,0.991,38.6715843,5.532,599.3,2.45,502,5432,4.42,0.913
1826,8381204,K02145.01,Kepler-1119 b,CONFIRMED,CANDIDATE,1,8.32651854,5.483,267.9,1.8,938,6057,4.45,1
1827,12058204,K02218.01,Kepler-373 b,CONFIRMED,CANDIDATE,1,5.53533152,2.793,260.6,1.75,1054,5588,4.331,1.1
1828,12058204,K02218.02,Kepler-373 c,CONFIRMED,CANDIDATE,0.983,16.7261969,2.708,194.9,1.56,729,5588,4.331,1.1
1829,4833421,K00232.03,Kepler-122 d,CONFIRMED,CANDIDATE,1,21.58752788,4.4968,336.8,2.18,747,6038,4.284,1.191
1830,5357545,K02219.01,,CANDIDATE,CANDIDATE,0.995,3.757294695,0.9269,273.3,1.23,877,4901,4.618,0.716
1831,6871071,K02220.01,Kepler-374 c,CONFIRMED,CANDIDATE,1,3.2828024,3.2532,142.5,1.79,1467,5640,4.087,1.515
1832,5342473,K02297.01,,CANDIDATE,CANDIDATE,1,4.64495172,3.366,147.4,1.38,1209,6047,4.343,1.129
1833,9334893,K02298.01,,CANDIDATE,CANDIDATE,0.9,16.6671415,3.526,175,0.7,469,4729,4.726,0.525
1834,9963265,K02299.01,,CANDIDATE,CANDIDATE,1,16.48686712,1.431,987.9,27.45,760,6090,4.447,1.071
1835,10583761,K02300.01,Kepler-1179 b,CONFIRMED,CANDIDATE,0.992,2.685054445,1.0473,252.7,1.46,1137,5266,4.484,0.829
1836,7542813,K02302.01,Kepler-1180 b,CONFIRMED,CANDIDATE,0.982,16.8600805,5.557,273.4,1.71,765,6205,4.419,0.973
1837,12058147,K02072.01,Kepler-1082 b,CONFIRMED,CANDIDATE,1,1.54320541,2.5779,91.2,1.23,1827,5866,4.2,1.282
1838,8164257,K02073.01,Kepler-357 d,CONFIRMED,CANDIDATE,0.993,49.5004725,5.772,965.2,2.49,402,4954,4.5,0.828
1839,8164257,K02073.02,Kepler-357 b,CONFIRMED,CANDIDATE,1,6.47539108,2.7048,530.6,1.92,793,4954,4.5,0.828
1840,8164257,K02073.03,Kepler-357 c,CONFIRMED,CANDIDATE,0.999,16.85825609,2.0728,759.6,2.51,576,4954,4.5,0.828
1841,10593759,K00025.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.132604547,3.6337,9969.2,48.73,1444,6248,4.328,1.181
1842,6774537,K02146.01,Kepler-1120 b,CONFIRMED,CANDIDATE,1,2.949029106,2.0311,358.3,1.48,1027,4983,4.512,0.807
1843,10404582,K02147.01,Kepler-362 c,CONFIRMED,CANDIDATE,1,37.8658964,4.782,395.2,2.01,543,5757,4.431,1.017
1844,5959753,K00226.01,Kepler-496 b,CONFIRMED,CANDIDATE,1,8.30865307,3.2747,836.1,2.42,747,5022,4.485,0.849
1845,6021193,K02148.01,Kepler-363 d,CONFIRMED,CANDIDATE,1,11.93205399,6.205,178.5,1.83,905,5711,4.221,1.391
1846,6021193,K02148.02,Kepler-363 c,CONFIRMED,CANDIDATE,1,7.54235832,4.73,132.5,1.59,1054,5711,4.221,1.391
1847,6871071,K02220.02,Kepler-374 d,CONFIRMED,CANDIDATE,0.995,5.02818253,3.526,181.3,2.03,1272,5640,4.087,1.515
1848,6871071,K02220.03,Kepler-374 b,CONFIRMED,CANDIDATE,1,1.897828815,2.7114,132.4,1.73,1761,5640,4.087,1.515
1849,6287313,K02221.01,Kepler-1147 b,CONFIRMED,CANDIDATE,0.995,10.62788695,4.576,326.7,1.87,872,6082,4.445,1.014
1850,9289704,K02222.01,,CANDIDATE,CANDIDATE,0.987,34.135676,9.12,622,13.98,1526,7818,3.365,5.555
1851,9278725,K02223.01,Kepler-1148 b,CONFIRMED,CANDIDATE,1,1.104462494,1.0458,469.1,1.6,1397,5002,4.543,0.753
1852,4458082,K02303.01,Kepler-1181 b,CONFIRMED,CANDIDATE,1,4.89336495,3.485,138.3,1.6,1374,6688,4.304,1.347
1853,8042453,K02304.01,Kepler-1182 b,CONFIRMED,CANDIDATE,0.999,11.17392077,3.307,324.8,1.64,796,5911,4.519,0.914
1854,10874215,K02305.01,,CANDIDATE,CANDIDATE,0.995,31.0325991,3.476,737.4,2.64,561,5841,4.52,0.931
1855,6666233,K02306.01,,FALSE POSITIVE,FALSE POSITIVE,0,0.512407185,1.0579,329.2,1.03,1255,3862,4.69,0.563
1856,7661065,K02307.01,,CANDIDATE,CANDIDATE,1,4.150297119,1.2058,593.4,3.03,981,5290,4.519,0.858
1857,3937519,K00221.02,,CANDIDATE,CANDIDATE,1,5.89661966,3.154,144,1.28,1000,5392,4.314,1.087
1858,8866137,K02074.01,Kepler-1083 b,CONFIRMED,CANDIDATE,1,33.4178173,4.645,1166.8,3.13,448,5136,4.607,0.744
1859,10857519,K02075.01,Kepler-1084 b,CONFIRMED,CANDIDATE,0.999,2.053341891,2.596,65.5,1.44,1737,6084,4.204,1.358
1860,9517393,K02076.01,,CANDIDATE,CANDIDATE,0.992,56.7769831,6.864,884.3,3.21,491,6063,4.476,1.012
1861,9351316,K02078.01,Kepler-1086 b,CONFIRMED,CANDIDATE,1,18.78429232,3.1136,1009.5,2.14,433,4243,4.637,0.641
1862,6021193,K02148.03,Kepler-363 b,CONFIRMED,CANDIDATE,0.749,3.61460279,3.227,64.8,1.14,1347,5711,4.221,1.391
1863,10617017,K02149.01,Kepler-1121 b,CONFIRMED,CANDIDATE,0.989,13.15140223,5.439,97.8,1.87,1008,6154,4.12,1.636
1864,3229150,K02150.01,,CANDIDATE,CANDIDATE,0.999,18.5084526,6.596,758.9,29.33,683,5942,4.506,0.938
1865,7989422,K02151.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.47763833,2.5693,110,2.05,1346,5957,3.849,1.953
1866,9641481,K02152.01,Kepler-1122 b,CONFIRMED,CANDIDATE,0.999,42.1918331,7.083,488.7,2.35,526,5520,4.339,1.08
1867,8892157,K02224.01,Kepler-1149 b,CONFIRMED,CANDIDATE,0.999,3.73090026,2.9095,191.2,1.48,1128,5709,4.489,0.95
